TestId,Date,Time,Name,Calorie Intake
pmSykcXq3sf2Yt4CIG6S,09/19/2022,08:47:49,abU58h8GqrgqG19iryFe,99
pmSykcXq3sf2Yt4CIG6S,09/19/2022,08:47:49,abU58h8GqrgqG19iryFe,99
pmSykcXq3sf2Yt4CIG6S,09/19/2022,08:47:49,abU58h8GqrgqG19iryFe,99
zIbuQEThkNHbGIo56s8v,09/19/2022,08:45:59,abU58h8GqrgqG19iryFe,98
bV01kX7Vit6V7t4Yiqui,09/19/2022,08:42:14,abU58h8GqrgqG19iryFe,97
tWKigDcohlyEEmjzAHUD,09/16/2022,13:12:58,abU58h8GqrgqG19iryFe,96
ggAorJJ6mVVwWNbExDLU,09/16/2022,13:12:50,abU58h8GqrgqG19iryFe,95
u2MyoMg79liJ75pESfcQ,09/16/2022,13:12:38,abU58h8GqrgqG19iryFe,94
2iGUb8YJqUJhgpPNE5LD,09/15/2022,12:21:46,abU58h8GqrgqG19iryFe,93
jFjof4GBoW3BSg8vMwsa,09/15/2022,12:21:34,abU58h8GqrgqG19iryFe,92
OLoLdi3zSpYrF5rnAhbp,09/15/2022,12:21:23,abU58h8GqrgqG19iryFe,91
hHieCbqXf1D9bULXKFZW,09/14/2022,12:56:38,abU58h8GqrgqG19iryFe,90
zIh56NqofsHv90XErU54,09/14/2022,12:56:29,abU58h8GqrgqG19iryFe,99
nQEFF0u2AARVzzaxpwJB,09/14/2022,12:56:16,abU58h8GqrgqG19iryFe,98
a4yGpEhc4Tg2ap6aws7U,09/13/2022,12:00:54,abU58h8GqrgqG19iryFe,97
oY8CedtYcfMWanOaXp2n,09/13/2022,12:00:38,abU58h8GqrgqG19iryFe,96
skjWEDL253KZobmzV20r,09/13/2022,12:00:30,abU58h8GqrgqG19iryFe,95
SFgi3OseTOcMQGniRM0l,09/13/2022,12:00:22,abU58h8GqrgqG19iryFe,94
MRjYT7nHxOwSl1S8javH,09/12/2022,12:16:22,abU58h8GqrgqG19iryFe,93
adYSaO5yHLbv8EHHkdME,09/12/2022,12:16:10,abU58h8GqrgqG19iryFe,92
JabJaUqudBET7J6EaR1M,09/06/2022,11:33:21,abU58h8GqrgqG19iryFe,91
